Enabled,Enabled
"Block Selector","Block Selector"
"Block Name","Block Name"
"Add Block Exposure","Add Block Exposure"
Exclude,Exclude
Include,Include
"There is already an account with this email address.","There is already an account with this email address."
"<span>Google Tag Manager</span><span>&nbsp;</span><span>[Acid Unit]</span><span>&nbsp;</span>","<span>Google Tag Manager</span><span>&nbsp;</span><span>[Acid Unit]</span><span>&nbsp;</span>"
Enable,Enable
"Container ID","Container ID"
"Enable Debug","Enable Debug"
"All events that are pushed to the data layer will be also logged to the developer console","All events that are pushed to the data layer will be also logged to the developer console"
"Page Load","Page Load"
"Event Name","Event Name"
"Page Layout Handles List Behavior","Page Layout Handles List Behavior"
"Page Layout Handles List","Page Layout Handles List"
"One layout handle per line. More info about layout handles you can find on <a target=""_blank"" href=""https://developer.adobe.com/commerce/frontend-core/guide/layouts/"">Adobe Commerce Developer Documentation page</a>","One layout handle per line. More info about layout handles you can find on <a target=""_blank"" href=""https://developer.adobe.com/commerce/frontend-core/guide/layouts/"">Adobe Commerce Developer Documentation page</a>"
"PDP Loaded Event Name","PDP Loaded Event Name"
"PLP Loaded Event Name","PLP Loaded Event Name"
"Enable Pushing User Type with Page Load event","Enable Pushing User Type with Page Load event"
"Additional property 'user_type' (values: 'registered', 'new') will be pushed with page load event excluding Customer Account, PDP, PLP, Checkout, Success Order Pages","Additional property 'user_type' (values: 'registered', 'new') will be pushed with page load event excluding Customer Account, PDP, PLP, Checkout, Success Order Pages"
Click,Click
"Product Clicked","Product Clicked"
"Menu Item Clicked","Menu Item Clicked"
"Swatch Clicked","Swatch Clicked"
"Checkout Flow","Checkout Flow"
"Product Added to Cart","Product Added to Cart"
"Product Removed from Cart","Product Removed from Cart"
"Cart Item Qty Changed","Cart Item Qty Changed"
"Checkout Steps Reached","Checkout Steps Reached"
"Purchase Done","Purchase Done"
"Customer Session","Customer Session"
"Log In","Log In"
"Enable Failed Log In","Enable Failed Log In"
"Failed Log In Event Name","Failed Log In Event Name"
"Log Out","Log Out"
Registration,Registration
"Enable Failed Registration","Enable Failed Registration"
"Failed Registration Event Name","Failed Registration Event Name"
Exposure,Exposure
Product,Product
"Menu Category","Menu Category"
Block,Block
